,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
arena_settings_shop_type_choose,Player's Choice,На выбор игрока,,,Spieler Wahl,,,Wybór gracza,玩家自定义选项,,,,,
arena_settings_shop_wand_chance_name,Shop Wands,Жезлов в Магазине,,,Laden Zauberstäbe,,,Sklep z różdżkami,商店生成法杖概率,,,,,
arena_settings_shop_wand_chance_description,Percentage of shop items which will be wands.,"Процент предметов в магазине, которые будут жезлами",,,prozentueller Anteil von Laden Gegenständen werden Zauberstäbe sein.,,,Procent szansy na sklep z różdżkami,商品将概率变成法杖\n[用于混合型商店],,,,,
arena_settings_shop_random_ratio_name,Wand Shops,Магазины Жезлов,,,Zauberstab Läden,,,Sklepy z różdżkami,随机商店比例,,,,,
arena_settings_shop_random_ratio_description,Chance to get a wand shop.,Шанс получить магазин жезлов,,,Chance einen Zauberstab Laden zu bekommen.,,,Szansa na sklep z różdżkami,法杖与法术商店的出现比例\n[对于常规商店的随机化调整],,,,,
arena_players_ready,Players ready: ,Игроки готовы:,,,Spieler bereit: %s,,,Gotowi gracze: ,玩家准备：,,,,,
arena_playerinfo_ping,Ping: %sms,Пинг: %sms,,,Ping: %sms,,,Ping: %sms,网络延迟: %s 毫秒,,,,,
arena_playerinfo_delay,Delay: %s frames,Задержка: %s кадров,,,Zeitverzögerung: %sms,,,Opóźnienie: %s klatek,延迟：%s 帧,,,,,
arena_playerinfo_wins,Wins: %s,Победы: %s,,,Siege: %s,,,Ilośc wygranych: %s,胜利者：%s,,,,,
arena_playerinfo_no_perks,No perks,Нет Бонусов,,,keine Bonis,,,Brak dodatkowych umiejętności,无天赋,,,,,
arena_other_player_died,%s died,%s умер,,,%s ist gestorben,,,%s nie żyje,%s 死了,,,,,
arena_playerinfo_you,You,Вы,,,Du,,,Ty,你,,,,,
arena_holymountain_enter,You have entered the holy mountain,Вы вошли в Святую Гору,,,Du hast den Heiligen Berg betreten,,,Wchodzisz do świątyni,进入圣山,,,,,
arena_holymountain_enter_sub,Prepare to enter the arena.,Готовьтесь к выходу на Арену.,,,Bereite dich vor die Arena zu betreten,,,Przygotuj się do wejścia na arenę,准备阶段,,,,,
arena_holymountain_ready,Press $0 to ready up,Нажмите $0 для готовности,,,Drücke $0 um dich bereit zu machen,,,Naciśnij $0 by zgłosić gotowość,按下 $0 进入准备,,,,,
arena_holymountain_unready,Press $0 to unready,Нажмите $0 для отмены готовности,,,Drücke $0 um dich nicht bereit zu machen,,,Naciśnij $0 by anulować gotowość,按下 $0 取消准备,,,,,
arena_open_beta,Open Beta,Открытое Бета Тестирование,,,Offene Beta,,,Otwarta Beta,公测版,,,,,
arena_dev,Dev,Разработка,,,Entwickler,,,Deweloper,开发版,,,,,
arena_prerelease,Pre release,Пре - релиз,,,Vorveröffentlichung,,,Przed wydaniem,前瞻版,,,,,
arena_ready_count_left_name,Ready Count Left,До готовности осталось:,,,Bereit Anzeige links,,,Licznik gotowych graczy po lewej stronie,未就绪,,,,,
arena_ready_count_left_description,Move ready count to the left side of the screen.,Переместить индикатор готовности в левую часть экрана,,,Bewege die Bereit Anzeige zu der linken Seite des Bildschirms.,,,Przenieś licznik gotowych graczy na lewą stronę ekranu,将就绪计数移至屏幕左侧,,,,,
arena_returning_to_lobby_text,Returning to lobby in %s seconds,Возврат в лобби через %s секунд,,,Kehre zur Lobby in %s Sekunden zurück,,,Powrót do pokoju za %s sekund,将在 %s 秒后返回房间,,,,,
arena_settings_no_cost_name,Free shop items,Бесплатные предметы в магазине,,,kostenlose Laden Gegenstände,,,Darmowe przedmioty w sklepie,免费的商店物品,,,,,
arena_settings_no_cost_description,Shop items no longer have a price tag attached,Товары не имеют ценника,,,Laden Gegenstände haben keinen Preis mehr,,,Przedmioty w sklepie nie będą nic kosztować,零元购！,,,,,
arena_settings_upgrades_system_name,Card System,Карточная система,,,Runden Upgrades,,,Ulepszenia co rundę,随机卡牌,,,,,
arena_settings_upgrades_system_description,Players get to pick a card every round.,Игроки выбирают карту каждый раунд,,,Spieler können ein Upgrade pro Runde wählen,,,Gracze mogą wybrać ulepszenie w każdej rundzie.,玩家可以在每轮中选择卡牌进行升级,,,,,
arena_upgrades_max_mana_name,Max Mana Upgrade,Увеличение максимальной маны,,,Max Mana upgrade,,,Ulepsz maksymalną manę różdżki,最大法力提升,,,,,
arena_upgrades_max_mana_description,Upgrade the max mana of your selected wand,Увеличить максимальный запас маны в выбранном жезле,,,erhöht das maximale Mana von deinem ausgewähltem Zauberstab,,,Zwiększa maksymalną ilość dostępnej many w trzymanej różdżce.,提升你手持法杖的最大法力值,,,,,
arena_upgrades_mana_recharge_name,Mana Recharge Upgrade,Увеличение скорости восстановления маны,,,Mana aufladen upgrade,,,Ulepsz ładowanie many różdżki,改进法力恢复速度,,,,,
arena_upgrades_mana_recharge_description,Upgrade the mana recharge of your selected wand,Увеличение скорости перезарядки маны в выбранном жезле,,,Erhöht die Aufladegeschwindigkeit vom Mana von deinem ausgewähltem Zauberstab,,,Zwiększa prędkość regeneracji many w trzymanej różdżce.,提升你所持有的法杖的法力恢复速度,,,,,
arena_upgrades_cast_delay_name,Cast Delay Upgrade,Уменьшение задержки между заклинаний,,,Zauber Verzögerung upgrade,,,Ulepsz opóźnienie różdżki,改善施法时间,,,,,
arena_upgrades_cast_delay_description,Upgrade the cast delay of your selected wand,Уменьшение задержки между заклинаний в выбранном жезле,,,verringert die Zauber Verzögerung von deinem ausgewähltem Zauberstab,,,Skraca czas między zaklęciami w trzymanej różdżce.,改善手持法杖的施法时间,,,,,
arena_upgrades_reload_time_name,Recharge Time Upgrade,Уменьшение перезарядки жезла,,,Lade Zeit upgrade,,,Ulepsz czas ładowania różdżki,充能时间改进,,,,,
arena_upgrades_reload_time_description,Upgrade the recharge time of your selected wand,Уменьшение перезарядки в выбранном жезле,,,verringert die Lade Zeit von deinem ausgewähltem Zauberstab,,,Skraca czas potrzebny na przeładowanie trzymanej różdżki.,改善手持法杖的充能时间,,,,,
arena_upgrades_increase_spread_name,Increase Spread,Увеличение разброса,,,erhöhte Streuung,,,Zwiększ rozrzut,增加散射,,,,,
arena_upgrades_increase_spread_description,Increase the spread of your selected wand,Увеличение разброса в выбранном жезле,,,erhöht die Streuung von deinem ausgewähltem Zauberstab,,,Zwiększa rozrzut w trzymanej różdżce.,增加所持法杖的散射,,,,,
arena_upgrades_reduce_spread_name,Reduce Spread,Уменьшение разброса,,,reduzierte Streuung,,,Zmniejsz rozrzut,减少散射,,,,,
arena_upgrades_reduce_spread_description,Reduce the spread of your selected wand,Уменьшение разброса в выбранном жезле,,,reduziert die Streuung von deinem ausgewähltem Zauberstab,,,Zmniejsza rozrzut w trzymanej różdżce.,减少所持法杖的散射,,,,,
arena_upgrades_increase_multicast_name,Increase Multicast Count,Увеличение одновременно используемых заклинаний,,,erhöhe Mehrfach Zauber Wirkung,,,Zwiększ ilość jednocześnie rzucanych zaklęć,增加法杖施法数,,,,,
arena_upgrades_increase_multicast_description,Increase the multicast count of your selected wand,Увеличение одновременно используемых заклинаний в выбранном жезле,,,erhöht die mehrfache Zauberwirkung von deinem ausgewähltem Zauberstab,,,Zwiększa ilość jednocześnie rzucanych zaklęć przy użyciu trzymanej różdżki.,增加你所持有的法杖上同时施放的法术数量,,,,,
arena_upgrades_reduce_multicast_name,Reduce Multicast Count,Уменьшение одновременно используемых заклинаний,,,reduzierte mehrfach Zauber Wirkung,,,Zmniejsz ilość jednocześnie rzucanych zaklęć,减少法杖施法数,,,,,
arena_upgrades_reduce_multicast_description,Reduce the multicast count of your selected wand,Уменьшение одновременно используемых заклинаний в выбранном жезле,,,reduziert die mehrfache Zauberwirkung von deinem ausgewähltem Zauberstab,,,Zmniejsza ilość jednocześnie rzucanych zaklęć przy użyciu trzymanej różdżki.,减少你所持有的法杖上同时施放的法术数量,,,,,
arena_upgrades_slots_name,Slots Upgrade,Увеличение количества слотов,,,Zauber Platz Erhöhung ,,,Ulepsz pojemność różdżki,容量升级,,,,,
arena_upgrades_slots_description,Upgrade the slot count of your selected wand,Увеличение количества слотов в выбранном жезле,,,erhöht die Anzahl der Zauber Plätze auf deinem ausgewähltem Zaubertab,,,Zwiększa pojemność trzymanej różdżki.,增加你所持法杖的容量,,,,,
arena_upgrades_add_always_cast_name,Add Always Cast,Добавление постоянного заклинания,,,Füge Always Cast hinzu,,,Dodaj zawsze rzucane zaklęcie,添加始终施法,,,,,
arena_upgrades_add_always_cast_description,Add an always cast to your selected wand,Добавление постоянного заклинания в выбранный жезл,,,Fügt einen Always Cast auf deinem ausgewähltem Zauberstab hinzu,,,Dodaje losowe zawsze rzucane zaklęcie do trzymanej różdżki.,为法杖添加一个始终施法,,,,,
arena_upgrades_unshuffle_name,Unshuffle,Наложение заклинаний в неслучайном порядке,,,nicht mischen,,,Nie tasuj różdżki,不在乱序,,,,,
arena_upgrades_unshuffle_description,Your selected wand is unshuffled,Наложение заклинаний в неслучайном порядке в выбранном жезле,,,dein ausgewählter Zauberstab mischt nicht mehr,,,Wyłącza tasowanie w trzymanej różdżce,你的手持法杖转变为否杖,,,,,
arena_upgrades_max_mana_all_name,Max Mana Upgrade+,Увеличение максимальной маны+,,,Max Mana upgrade,,,Ulepsz maksymalną manę +,最大法力值升级+,,,,,
arena_upgrades_max_mana_all_description,Upgrade the max mana of all your wands,Увеличение максимальной маны в каждом имеющимся жезле,,,erhöht das maximale Mana von all deinen Zauberstäben,,,Zwiększa maksymalną ilość dostępnej many we wszystkich posiadanych różdżkach.,升级所有法杖的最大法力值,,,,,
arena_upgrades_mana_recharge_all_name,Mana Recharge Upgrade+,Ускорение восстановления маны+,,,Mana aufladen upgrade,,,Ulepsz ładowanie many +,改善法力恢复速度+,,,,,
arena_upgrades_mana_recharge_all_description,Upgrade the mana recharge of all your wands,Ускорение восстановления маны в каждом имеющимся жезле,,,Erhöht die Aufladegeschwindigkeit vom Mana all deinen Zauberstäben,,,Zwiększa prędkość regeneracji many we wszystkich posiadanych różdżkach.,升级所有法杖的法力恢复速度,,,,,
arena_upgrades_cast_delay_all_name,Cast Delay Upgrade+,Уменьшение задержки между заклинаний+,,,Zauber Verzögerung upgrade,,,Ulepsz opóźnienie +,法术施法时间改善+,,,,,
arena_upgrades_cast_delay_all_description,Upgrade the cast delay of all your wands,Уменьшение задержки между заклинаний в каждом имеющимся жезле,,,verringert die Zauber Verzögerung von all deinen Zauberstäben,,,Skraca czas między zaklęciami we wszystkich posiadanych różdżkach.,缩短所有法杖的施法延迟,,,,,
arena_upgrades_reload_time_all_name,Recharge Time Upgrade+,Уменьшение перезарядки жезла+,,,Lade Zeit upgrade,,,Ulepsz czas ładowania +,充能时间改进+,,,,,
arena_upgrades_reload_time_all_description,Upgrade the recharge time of all your wands,Уменьшение перезарядки жезла в каждом имеющимся жезле,,,verringert die Lade Zeit von all deinen Zauberstäben,,,Skraca czas potrzebny na przeładowanie wszystkich posiadanych różdżek.,缩短所有法杖的充能时间。,,,,,
arena_upgrades_increase_spread_all_name,Increase Spread+,Увеличение разброса+,,,erhöhte Streuung,,,Zwiększ rozrzut +,增加散射+,,,,,
arena_upgrades_increase_spread_all_description,Increase the spread of all your wands,Увеличение разброса в каждом имеющимся жезле,,,erhöht die Streuung von all deinen Zauberstäben,,,Zwiększa rozrzut we wszystkich posiadanych różdżkach.,增加所有法杖的散射,,,,,
arena_upgrades_reduce_spread_all_name,Reduce Spread+,Уменьшение разброса+,,,reduzierte Streuung,,,Zmniejsz rozrzut +,减少散射+,,,,,
arena_upgrades_reduce_spread_all_description,Reduce the spread of all your wands,Уменьшение разброса в каждом имеющимся жезле,,,reduziert die Streuung von all deinen Zauberstäben,,,Zmniejsza rozrzut we wszystkich posiadanych różdżkach.,减少所有法杖的散射,,,,,
arena_upgrades_increase_multicast_all_name,Increase Multicast Count+,Увеличение одновременно используемых заклинаний+,,,erhöhe Mehrfach Zauber Wirkung,,,Zwiększ ilość jednocześnie rzucanych zaklęć +,增加法杖施法数+,,,,,
arena_upgrades_increase_multicast_all_description,Increase the multicast count of all your wands,Увеличение одновременно используемых заклинаний в каждом имеющимся жезле,,,erhöht die mehrfache Zauberwirkung von all deinen Zauberstäben,,,Zwiększa ilość jednocześnie rzucanych zaklęć wszystkich posiadanych różdżkach.,增加所有法杖的施法数,,,,,
arena_upgrades_reduce_multicast_all_name,Reduce Multicast Count+,Уменьшение одновременно используемых заклинаний+,,,reduzierte mehrfach Zauber Wirkung,,,Zmniejsz ilość jednocześnie rzucanych zaklęć +,减少法杖施法数+,,,,,
arena_upgrades_reduce_multicast_all_description,Reduce the multicast count of all your wands,Уменьшение одновременно используемых заклинаний в каждом имеющимся жезле,,,reduziert die mehrfache Zauberwirkung von all deinen Zauberstäben,,,Zmniejsza ilość jednocześnie rzucanych zaklęć wszystkich posiadanych różdżkach.,减少所有法杖的施法数,,,,,
arena_upgrades_slots_all_name,Slots Upgrade+,Увеличение количества слотов+,,,Zauber Platz Erhöhung ,,,Ulepsz pojemność +,容量升级+,,,,,
arena_upgrades_slots_all_description,Upgrade the slot count of all your wands,Увеличение количества слотов в каждом использующимся жезле,,,erhöht die Anzahl der Zauber Plätze auf all deinen Zauberstäben,,,Zwiększa pojemność wszystkich posiadanych różdżek.,增加所有法杖的容量。,,,,,
arena_upgrades_add_always_cast_all_name,Add Always Cast+,Добавление постоянного заклинания+,,,Füge Always Cast hinzu,,,Dodaj zawsze rzucane zaklęcie +,添加始终施法+,,,,,
arena_upgrades_add_always_cast_all_description,Add an always cast to all your wands,Добавление постоянного заклинания в каждом использующимся жезле,,,Fügt einen Always Cast auf all deinen Zauberstäben,,,Dodaje losowe zawsze rzucane zaklęcie do wszystkich posiadanych różdżek.,为所有法杖添加始终施法,,,,,
arena_upgrades_unshuffle_all_name,Unshuffle+,Наложение заклинаний в неслучайном порядке+,,,nicht mischen,,,Nie tasuj +,不再乱序+,,,,,
arena_upgrades_unshuffle_all_description,All your wands are unshuffled,Наложение заклинаний в неслучайном порядке в каждом имеющимся жезле,,,dein ausgewählter Zauberstab mischt nicht mehr,,,Wyłącza tasowanie we wszystkich posiadanych różdżkach.,让所有法转变成否杖,,,,,
arena_upgrades_gold_name,Payday,Время Закупки,,,Zahltag,,,Wypłata,经济学,,,,,
arena_upgrades_gold_description,You gain an additional set of gold this round.,Дополнительное золото на этот раунд,,,du bekommst eine zusätzliche Menge an Gold diese Runde.,,,Otrzymaj dodatkowe złoto w tej rundzie.,本轮获得额外的黄金,,,,,
arena_upgrades_random_perk_name,Random Perk,Случайный бонус,,,Zufälliger Boni,,,Losowa umiejętność,天赋异禀,,,,,
arena_upgrades_random_perk_description,You gain a random perk.,Вы получаете случайный бонус,,,du erhältst einen zufälligen Boni.,,,Otrzymujesz losową umiejętność.,你获得一个随机的天赋,,,,,
arena_upgrades_health_name,Health,Здоровье,,,Gesundheit,,,Zdrowie,强健体魄,,,,,
arena_upgrades_health_description,You gain 25% extra max health.,Вы получаете 25% дополнительного здоровья,,,Deine maximale Gesundheit wird um 25% erhöht,,,Otrzymujesz 25% dodatkowego maksymalnego zdrowia.,获得额外 25% 的最大生命值,,,,,
arena_settings_upgrades_reward_system_name,Card Reward Type,Тип награды - Карты,,,Upgrade Belohnungstyp,,,Rodzaj nagradzanych ulepszeń,达成条件以获取奖励,,,,,
arena_settings_upgrades_reward_system_description,Who should be given cards?,Кто будет награжден картами?,,,Wer soll upgrades erhalten?,,,Kto powinien dostać ulepszenia?,设定如何获得奖励,,,,,
arena_settings_reward_enum_winner,Winner,Победитель,,,Gewinner,,,Zwycięzca,胜出,,,,,
arena_settings_reward_enum_losers,Losers,Проигравшие,,,Verlierer,,,Przegrani,输家,,,,,
arena_settings_reward_enum_first_death,First Death,Первый умерший,,,erster Tod,,,Pierwsza śmierć,第一次死亡,,,,,
arena_settings_reward_enum_everyone,Everyone,Все,,,Alle,,,Wszyscy,无条件,,,,,
arena_settings_perk_reward_system_name,Perk Reward Type,Тип награды - Бонусы,,,Boni Belohnungstyp,,,Rodzaj nagradzanych umiejętności,达成条件以获得天赋,,,,,
arena_settings_perk_reward_system_description,Who should be given perks?,Кто будет награжден Бонусами?,,,Wer soll Bonis erhalten?,,,Kto powinien dostać umiejętności?,设定如何获得天赋,,,,,
arena_compensation_winner,You are rewarded for winning,Вы награждены за победу,,,du wirst für das Gewinnen belohnt,,,Otrzymujesz nagrodę za wygraną,您因获胜而获得奖励,,,,,
arena_upgrades_pick,Pick a card,Выберите карту,,,wähle eine Karte,,,Wybierz kartę,选择其一,,,,,
arena_upgrades_skip_name,No thank you,"Нет, спасибо",,,Nein dankeschön,,,Pomiń,放弃奖励,,,,,
arena_upgrades_skip_description,Do not pick a card this round.,Не выбирать карту в этом раунде,,,Wähle keine Karte in dieser Runde.,,,Nie podnoś żadnej karty w tej rundzie.,这一轮不要拿起任何牌。,,,,,
arena_settings_shop_scaling_name,Shop Tier Scaling,Алгоритм повышения уровня магазина,,,Laden Stufe Skalierung,,,Okres skalowania poziomu sklepu,商店升级,,,,,
arena_settings_shop_scaling_description,How many rounds before the shop tier increases.,Сколько раундов перед увеличением уровня магазина,,,Wie viele Runden bevor die Laden Stufe erhöht wird,,,"Ilość rund, po których zwiększa się poziom sklepu.",每经过多少轮商店等级就会提升,,,,,
arena_settings_shop_jump_name,Shop Tier Increment,Прирост уровня магазина,,,Laden Stufe Zuwachs,,,Skalowanie poziomu sklepu,商店级别升级,,,,,
arena_settings_shop_jump_description,How many tiers the shop increase by each time.,На сколько уровней улучшается магазин каждый раз,,,Wie viele Stufen der Laden bei jedem Aufstieg hinzugewinnt,,,O ile poziomów skaluje się poziom sklepu.,每轮商店等级会上升多少级。,,,,,
arena_settings_max_shop_level_name,Max Shop Tier,Максимальный уровень магазина,,,Maximale Laden Stufe,,,Maksymalny poziom sklepu,最高商店等级,,,,,
arena_settings_max_shop_level_description,Maximum tier of shops.,Максимальный уровень магазина,,,Maximale Stufe des Ladens,,,Maksymalny poziom jaki osiągną sklepy.,商店将达到的最高级别。,,,,,
arena_settings_shop_price_multiplier_name,Shop Price Multiplier,Множитель цен магазина,,,Laden Preis Multiplikator,,,Mnożnik cen sklepu,商店价格倍率,,,,,
arena_settings_shop_price_multiplier_description,How much the standard show price is multiplied by.,Насколько стандартная цена будет умножена,,,Um wie viel der Standart Preis multipliziert wird,,,"Liczba, o którą pomnożone zostaną ceny w sklepie.",改变商品价格,,,,,
arena_settings_shop_start_level_name,Shop Starting Tier,Начальный уровень магазина,,,Laden Start Stufe,,,Początkowy poziom sklepów,商店起始等级,,,,,
arena_settings_shop_start_level_description,What tier shops start at.,С каким уровнем будет магазин в первом раунде,,,Bei welcher Stufe der Laden startet,,,"Wybiera poziom sklepu, z którym rozpoczyna się gra.",商店从什么级别起步？,,,,,
arena_settings_wand_removal_name,Wand Removal,Удаление жезлов,,,Zauberstab entfernen,,,Usuwanie różdżek,移除法杖,,,,,
arena_settings_wand_removal_description,Remove wands at the end of rounds.,Отнимать жезлы в конце раунда,,,Entferne Zauberstäbe am Ende der Runde,,,Usuwanie różdżek na koniec rundy.,在回合结束时移除法杖。,,,,,
arena_settings_wand_removal_enum_none,Disabled,Отключено,,,deaktiviert,,,Wyłączone,禁用,,,,,
arena_settings_wand_removal_enum_all,All Wands,Все жезлы,,,Alle Zauberstäbe,,,Wszystkie różdżki,全部法杖,,,,,
arena_settings_wand_removal_enum_random,Random Wand,Случайный жезл,,,Zufällige Zauberstäbe,,,Losowa różdżka,随机法杖,,,,,
arena_settings_wand_removal_who_name,Wand Removal Target,Цель отнятия жезлов,,,Zauberstab entfernen Ziel,,,Ofiara usuwania,移除的法杖目标,,,,,
arena_settings_wand_removal_who_description,Who gets wands removed at the end of rounds?,У кого забираются все жезлы в конце раунда?,,,Wer bekommt seine Zauberstäbe am Ende der Runde entfernt?,,,Czyje różdżki zostaną usunięte na koniec rundy?,回合结束时谁的法杖会被移除？,,,,,
arena_settings_win_condition_name,Win Condition,Условие победы,,,Gewinn Voraussetzung Wert,,,Warunek wygranej,胜利条件,,,,,
arena_settings_win_condition_description,What type of win condition to use?,Какой тип условия победы использовать?,,,Welche Gewinn Voraussetzung wird benutzt?,,,Jaki jest warunek wygranej?,使用什么类型的获胜条件？,,,,,
arena_settings_win_condition_enum_unlimited,Unlimited,Бесконечно,,,Unendlich,,,Nieograniczony,不结束,,,,,
arena_settings_win_condition_enum_first_to,First to X wins,Первый до Х побед,,,Erster bis X Siege,,,Pierwsza osoba do X wygranych,先到 X 者获胜,,,,,
arena_settings_win_condition_enum_best_of,Best of X rounds,Лучший из X раундов,,,Bester von X Runden,,,Najwięcej wygranych z puli X meczów,X轮最佳成绩,,,,,
arena_settings_win_condition_enum_winstreak,Winstreak,Серия побед,,,Siegesserie,,,Seria wygranych,连胜,,,,,
